0.065729805,-0.13907526,-0.089302299
0.011033296,-0.17142487,-0.079497414
-0.044995407,-0.15077306,-0.094716049
0.059561359,-0.14952966,-0.12085591
0.014100648,-0.17625792,-0.11027995
-0.03769857,-0.15196516,-0.12189409
0.032986988,-0.15820773,-0.13790877
-0.0038254504,-0.16035876,-0.1408528
0.014742313,-0.18757443,-0.13823647
0.053618546,-0.14844403,-0.1582617
-0.027135715,-0.14894165,-0.16627376
0.022131527,-0.1659951,-0.20041237
0.079206245,-0.055727222,-0.10729687
-0.0045349202,0.031070955,-0.062811523
-0.065937576,-0.06271386,-0.12636058
-0.002356185,-0.055747837,0.014460212